,precision,recall,f1-score,support
腺癌,1.0,1.0,1.0,116.0
肺良性疾病,0.9900990099009901,1.0,0.9950248756218906,100.0
鳞癌,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
无法判断组织分型,0.9836065573770492,0.9523809523809523,0.9677419354838709,63.0
复合型,0.9230769230769231,1.0,0.9600000000000001,12.0
转移癌,0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0
小细胞癌,1.0,1.0,1.0,14.0
大细胞癌,1.0,1.0,1.0,19.0
accuracy,0.9794344473007712,0.9794344473007712,0.9794344473007712,0.9794344473007712
macro avg,0.9623824903833972,0.9736201298701299,0.9674864433543935,389.0
weighted avg,0.980345100825485,0.9794344473007712,0.9796403123550889,389.0
